time,open,high,low,close,volume
2021-04-09 19:05:00,175.362664129,175.362664129,175.362664129,175.362664129,142
2021-04-09 19:03:00,175.362664129,175.362664129,175.362664129,175.362664129,142
2021-04-09 18:03:00,175.372733854,175.372733854,175.372733854,175.372733854,200
2021-04-09 17:07:00,175.223183484,175.223183484,175.223183484,175.223183484,200
2021-04-09 16:57:00,175.103543188,175.103543188,175.103543188,175.103543188,300
2021-04-09 16:31:00,175.452494051,175.452494051,175.452494051,175.452494051,777
2021-04-09 16:29:00,175.352793804,175.352793804,175.352793804,175.352793804,37300
2021-04-09 16:11:00,175.17333336,175.17333336,175.17333336,175.17333336,2702
2021-04-09 16:01:00,175.452494051,175.452494051,175.452494051,175.452494051,3458
2021-04-09 16:00:00,175.372733854,175.49237415,175.352793804,175.452494051,53032
2021-04-09 15:59:00,175.377718866,175.412613952,175.352793804,175.377718866,27272
2021-04-09 15:58:00,175.34282378,175.402643928,175.34282378,175.372733854,25982
2021-04-09 15:57:00,175.412613952,175.412613952,175.332853755,175.332853755,19828
2021-04-09 15:56:00,175.372733854,175.427568989,175.362763829,175.402643928,16205
2021-04-09 15:55:00,175.312913706,175.362763829,175.292973656,175.362763829,50527
2021-04-09 15:54:00,175.372733854,175.392673903,175.283003632,175.302943681,22096
2021-04-09 15:53:00,175.362763829,175.382703878,175.352793804,175.362763829,14218
2021-04-09 15:52:00,175.34282378,175.382703878,175.332853755,175.372733854,23928
2021-04-09 15:51:00,175.223183484,175.412613952,175.223183484,175.347808792,35023
2021-04-09 15:50:00,175.253093558,175.263063582,175.223183484,175.233153508,12197
2021-04-09 15:49:00,175.19327341,175.253093558,175.19327341,175.243123533,19525
2021-04-09 15:48:00,175.19327341,175.243123533,175.188288397,175.19327341,11910
2021-04-09 15:47:00,175.183303385,175.223183484,175.163363336,175.213213459,12985
2021-04-09 15:46:00,175.113513212,175.213213459,175.103543188,175.17333336,28863
2021-04-09 15:45:00,175.153393311,175.168348348,175.113513212,175.123483237,8777
2021-04-09 15:44:00,175.113513212,175.183303385,175.113513212,175.153393311,8883
2021-04-09 15:43:00,175.053693064,175.123483237,175.053693064,175.103543188,12822
2021-04-09 15:42:00,175.083603138,175.093573163,175.053693064,175.053693064,13851
2021-04-09 15:41:00,175.143423286,175.143423286,175.078618126,175.093573163,21672
2021-04-09 15:40:00,175.17333336,175.19327341,175.133453262,175.143423286,29702
2021-04-09 15:39:00,175.203243434,175.223183484,175.153393311,175.17333336,11046
2021-04-09 15:38:00,175.163363336,175.243123533,175.163363336,175.223183484,20711
2021-04-09 15:37:00,175.183303385,175.203243434,175.133453262,175.133453262,35942
2021-04-09 15:36:00,175.183303385,175.19327341,175.143423286,175.17333336,69559
2021-04-09 15:35:00,175.153393311,175.17333336,175.123483237,175.17333336,8713
2021-04-09 15:34:00,175.163363336,175.183303385,175.123483237,175.183303385,28185
2021-04-09 15:33:00,175.123483237,175.203243434,175.123483237,175.17333336,18487
2021-04-09 15:32:00,175.083603138,175.123483237,175.073633114,175.123483237,26852
2021-04-09 15:31:00,175.093573163,175.138438274,175.073633114,175.093573163,32184
2021-04-09 15:30:00,175.053693064,175.083603138,175.04372304,175.083603138,10097
