time,open,high,low,close,volume
2020-10-09 20:00:00,342.4123972,342.4123972,342.39267696,342.39267696,2076
2020-10-09 19:59:00,342.39267696,342.39267696,342.294075757,342.294075757,5490
2020-10-09 19:58:00,342.343376358,342.343376358,342.343376358,342.343376358,602
2020-10-09 19:57:00,342.343376358,342.343376358,342.313795997,342.313795997,474
2020-10-09 19:56:00,342.333516238,342.333516238,342.333516238,342.333516238,462
2020-10-09 19:55:00,342.343376358,342.343376358,342.333516238,342.343376358,1827
2020-10-09 19:54:00,342.343376358,342.343376358,342.343376358,342.343376358,299
2020-10-09 19:53:00,342.323656118,342.323656118,342.323656118,342.323656118,104
2020-10-09 19:52:00,342.313795997,342.313795997,342.313795997,342.313795997,773
2020-10-09 19:51:00,342.313795997,342.333516238,342.313795997,342.333516238,1868
2020-10-09 19:50:00,342.313795997,342.343376358,342.313795997,342.343376358,1057
2020-10-09 19:49:00,342.313795997,342.313795997,342.313795997,342.313795997,235
2020-10-09 19:48:00,342.333516238,342.333516238,342.333516238,342.333516238,564
2020-10-09 19:47:00,342.303935877,342.303935877,342.303935877,342.303935877,142
2020-10-09 19:46:00,342.303935877,342.303935877,342.303935877,342.303935877,340
2020-10-09 19:45:00,342.343376358,342.343376358,342.343376358,342.343376358,300
2020-10-09 19:44:00,342.294075757,342.343376358,342.294075757,342.343376358,2091
2020-10-09 19:43:00,342.313795997,342.343376358,342.294075757,342.343376358,3905
2020-10-09 19:42:00,342.343376358,342.343376358,342.343376358,342.343376358,367
2020-10-09 19:41:00,342.333516238,342.333516238,342.333516238,342.333516238,110
2020-10-09 19:40:00,342.313795997,342.313795997,342.313795997,342.313795997,300
2020-10-09 19:38:00,342.343376358,342.343376358,342.343376358,342.343376358,342
2020-10-09 19:37:00,342.323656118,342.323656118,342.323656118,342.323656118,202
2020-10-09 19:36:00,342.343376358,342.343376358,342.343376358,342.343376358,1078
2020-10-09 19:35:00,342.343376358,342.343376358,342.313795997,342.343376358,750
2020-10-09 19:31:00,342.343376358,342.343376358,342.343376358,342.343376358,301
2020-10-09 19:30:00,342.343376358,342.343376358,342.313795997,342.313795997,632
2020-10-09 19:25:00,342.333516238,342.353236479,342.333516238,342.353236479,770
2020-10-09 19:24:00,342.353236479,342.353236479,342.303935877,342.303935877,592
2020-10-09 19:22:00,342.353236479,342.353236479,342.353236479,342.353236479,195
2020-10-09 19:21:00,342.372956719,342.372956719,342.372956719,342.372956719,160
2020-10-09 19:20:00,342.333516238,342.333516238,342.303935877,342.303935877,1697
2020-10-09 19:19:00,342.343376358,342.343376358,342.323754719,342.333516238,1213
2020-10-09 19:18:00,342.382816839,342.382816839,342.382816839,342.382816839,311
2020-10-09 19:15:00,342.372956719,342.372956719,342.372956719,342.372956719,150
2020-10-09 19:14:00,342.372956719,342.372956719,342.372956719,342.372956719,1333
2020-10-09 19:11:00,342.363096599,342.372956719,342.343376358,342.372956719,831
2020-10-09 19:06:00,342.382816839,342.382816839,342.372956719,342.372956719,271
2020-10-09 19:04:00,342.363096599,342.363096599,342.363096599,342.363096599,504
2020-10-09 19:00:00,342.363096599,342.363096599,342.363096599,342.363096599,215
2020-10-09 18:58:00,342.372956719,342.39267696,342.372956719,342.39267696,654
2020-10-09 18:57:00,342.39267696,342.39267696,342.39267696,342.39267696,528
2020-10-09 18:56:00,342.343376358,342.363096599,342.343376358,342.363096599,206
2020-10-09 18:51:00,342.363096599,342.363096599,342.363096599,342.363096599,200
2020-10-09 18:50:00,342.363096599,342.363096599,342.363096599,342.363096599,786
2020-10-09 18:48:00,342.313795997,342.313795997,342.303935877,342.303935877,13100
2020-10-09 18:47:00,342.313795997,342.363096599,342.303935877,342.363096599,2078
2020-10-09 18:46:00,342.343376358,342.343376358,342.343376358,342.343376358,187
2020-10-09 18:44:00,342.323656118,342.323656118,342.303935877,342.303935877,1101
2020-10-09 18:40:00,342.343376358,342.343376358,342.323656118,342.323656118,429
2020-10-09 18:33:00,342.303935877,342.303935877,342.303935877,342.303935877,13102
2020-10-09 18:32:00,342.353236479,342.353236479,342.343376358,342.343376358,739
2020-10-09 18:31:00,342.353236479,342.353236479,342.353236479,342.353236479,467
2020-10-09 18:30:00,342.343376358,342.343376358,342.343376358,342.343376358,663
2020-10-09 18:29:00,342.343376358,342.343376358,342.343376358,342.343376358,2100
2020-10-09 18:26:00,342.313795997,342.313795997,342.313795997,342.313795997,149
2020-10-09 18:24:00,342.333516238,342.343376358,342.333516238,342.343376358,1277
2020-10-09 18:20:00,342.303935877,342.303935877,342.303935877,342.303935877,324
2020-10-09 18:19:00,342.303935877,342.303935877,342.303935877,342.303935877,380
2020-10-09 18:14:00,342.343376358,342.343376358,342.343376358,342.343376358,1000
2020-10-09 18:13:00,342.333516238,342.343376358,342.333516238,342.343376358,204
2020-10-09 18:12:00,342.294075757,342.343277757,342.294075757,342.294075757,545
2020-10-09 18:11:00,342.343376358,342.343376358,342.303935877,342.303935877,610
2020-10-09 18:10:00,342.343376358,342.343376358,342.343376358,342.343376358,600
2020-10-09 18:09:00,342.313795997,342.313795997,342.303935877,342.303935877,2002
2020-10-09 18:07:00,342.353236479,342.363096599,342.353236479,342.363096599,1098
2020-10-09 18:06:00,342.343376358,342.343376358,342.343376358,342.343376358,728
2020-10-09 18:05:00,342.343376358,342.343376358,342.343376358,342.343376358,643
2020-10-09 18:04:00,342.313795997,342.313795997,342.313795997,342.313795997,718
2020-10-09 18:03:00,342.4123972,342.4123972,342.333516238,342.333516238,3233
2020-10-09 18:00:00,342.40253708,342.40253708,342.40253708,342.40253708,184
