time,open,high,low,close,volume
2020-05-14 16:10:00,65.7914861457,65.7914861457,65.7914861457,65.7914861457,7401
2020-05-14 16:01:00,65.5447206178,65.6111574907,65.5447206178,65.6111574907,6768
2020-05-14 16:00:00,65.3786284355,65.5447206178,65.3738829446,65.5447206178,104926
2020-05-14 15:59:00,65.3833739264,65.4023558901,65.3643919627,65.3738829446,38070
2020-05-14 15:58:00,65.3976103992,65.4308288356,65.3738829446,65.3738829446,64844
2020-05-14 15:57:00,65.4023558901,65.4308288356,65.3928649083,65.3928649083,37210
2020-05-14 15:56:00,65.4403198175,65.4498107993,65.3738829446,65.4023558901,32551
2020-05-14 15:55:00,65.468792763,65.4782837449,65.4403198175,65.4450653084,29270
2020-05-14 15:54:00,65.4308288356,65.468792763,65.411846872,65.4640472721,23012
2020-05-14 15:53:00,65.4023558901,65.4403198175,65.3833739264,65.4213378538,22715
2020-05-14 15:52:00,65.4308288356,65.4403198175,65.3833739264,65.3976103992,15172
2020-05-14 15:51:00,65.3738829446,65.5162476722,65.3738829446,65.4308288356,37821
2020-05-14 15:50:00,65.288464108,65.3833739264,65.2694821443,65.3738829446,31858
2020-05-14 15:49:00,65.3643919627,65.3738829446,65.288464108,65.2979550898,17450
2020-05-14 15:48:00,65.3549009809,65.3738829446,65.3264280354,65.3691374537,22909
2020-05-14 15:47:00,65.3976103992,65.4023558901,65.3359190172,65.3738829446,23301
2020-05-14 15:46:00,65.2410091988,65.3928649083,65.2347451507,65.3928649083,61906
2020-05-14 15:45:00,65.1271174166,65.2315182169,65.1271174166,65.2315182169,16815
2020-05-14 15:44:00,65.1555903622,65.165081344,65.1271174166,65.1271174166,17432
2020-05-14 15:43:00,65.1176264348,65.2030452714,65.1081354529,65.1460993803,38345
2020-05-14 15:42:00,65.1603358531,65.1603358531,65.0796625074,65.1081354529,24068
2020-05-14 15:41:00,65.1603358531,65.2030452714,65.1081354529,65.165081344,21215
2020-05-14 15:40:00,65.2125362532,65.2125362532,65.1271174166,65.1555903622,30788
2020-05-14 15:39:00,65.1271174166,65.2083602212,65.1223719257,65.2083602212,33478
2020-05-14 15:38:00,64.9942436708,65.1460993803,64.9942436708,65.1176264348,35795
2020-05-14 15:37:00,65.0132256345,65.0227166163,64.9657707253,64.9942436708,11976
2020-05-14 15:36:00,65.0132256345,65.0606805437,64.9942436708,65.0227166163,14337
2020-05-14 15:35:00,65.0701715256,65.0986444711,65.0037346526,65.0037346526,18087
2020-05-14 15:34:00,65.0768152128,65.1555903622,65.0701715256,65.0701715256,20848
2020-05-14 15:33:00,65.0986444711,65.1271174166,65.0511895619,65.0701715256,16970
2020-05-14 15:32:00,65.165081344,65.165081344,65.0891534892,65.0891534892,11557
2020-05-14 15:31:00,65.1603358531,65.2789731261,65.1603358531,65.1745723258,19940
2020-05-14 15:30:00,65.1555903622,65.1840633077,65.1176264348,65.1603358531,39975
2020-05-14 15:29:00,65.1982997805,65.1982997805,65.1176264348,65.1555903622,22047
2020-05-14 15:28:00,65.1840633077,65.1935542895,65.1698268349,65.1935542895,8302
2020-05-14 15:27:00,65.1840633077,65.1949779368,65.1460993803,65.1935542895,9407
2020-05-14 15:26:00,65.1698268349,65.1935542895,65.1176264348,65.1935542895,21294
2020-05-14 15:25:00,65.1366083985,65.1745723258,65.1318629075,65.1745723258,17884
2020-05-14 15:24:00,65.0084801436,65.1555903622,65.0084801436,65.1366083985,50476
2020-05-14 15:23:00,64.9278067979,65.0132256345,64.9088248342,65.0132256345,30565
2020-05-14 15:22:00,64.8708609068,64.9420432707,64.8708609068,64.9278067979,11692
2020-05-14 15:21:00,64.8898428705,64.9562797434,64.861369925,64.8803518887,39438
