time,open,high,low,close,volume
2020-11-10 19:52:00,152.836814653,152.836814653,152.836814653,152.836814653,198
2020-11-10 19:13:00,152.886069185,152.886069185,152.886069185,152.886069185,300
2020-11-10 19:12:00,152.945174624,152.945174624,152.945174624,152.945174624,100
2020-11-10 18:44:00,152.964876437,152.964876437,152.964876437,152.964876437,100
2020-11-10 18:40:00,152.935323718,152.935323718,152.935323718,152.935323718,111
2020-11-10 18:10:00,152.866367372,152.866367372,152.866367372,152.866367372,219
2020-11-10 17:00:00,152.994429157,152.994429157,152.895920092,152.895920092,1200
2020-11-10 16:57:00,153.122293924,153.122293924,153.122293924,153.122293924,600
2020-11-10 16:55:00,153.083087316,153.112640035,153.083087316,153.112640035,700
2020-11-10 16:50:00,153.073236409,153.073236409,153.063385503,153.063385503,404
2020-11-10 16:49:00,153.023981877,153.023981877,153.023981877,153.023981877,100
2020-11-10 16:33:00,152.984578251,152.984578251,152.984578251,152.984578251,999
2020-11-10 16:30:00,152.955025531,152.955025531,152.955025531,152.955025531,146
2020-11-10 16:28:00,153.092938222,153.092938222,153.092938222,153.092938222,200
2020-11-10 16:21:00,152.915621905,152.925472811,152.915621905,152.925472811,405
2020-11-10 16:20:00,152.905770998,152.905770998,152.905770998,152.905770998,211
2020-11-10 16:18:00,152.866367372,152.866367372,152.866367372,152.866367372,207
2020-11-10 16:16:00,152.728454681,152.728454681,152.728454681,152.728454681,1031
2020-11-10 16:15:00,152.846665559,152.846665559,152.846665559,152.846665559,103402
2020-11-10 16:13:00,152.758007401,152.777709214,152.758007401,152.777709214,15842
2020-11-10 16:12:00,152.767858307,152.777709214,152.767858307,152.777709214,540
2020-11-10 16:11:00,152.81711284,152.81711284,152.807261933,152.807261933,251
2020-11-10 16:10:00,152.846665559,152.846665559,152.846665559,152.846665559,140
2020-11-10 16:08:00,152.964876437,152.964876437,152.964876437,152.964876437,100
2020-11-10 16:06:00,153.04368369,153.04368369,153.04368369,153.04368369,240
2020-11-10 16:05:00,153.122490942,153.171745474,153.122490942,153.171745474,6743
2020-11-10 16:04:00,152.925472811,153.161894568,152.925472811,153.161894568,10720
2020-11-10 16:03:00,152.895920092,152.895920092,152.856516466,152.886069185,73513
2020-11-10 16:02:00,152.916508486,152.925472811,152.866367372,152.915621905,100892
2020-11-10 16:01:00,152.905770998,152.925472811,152.846665559,152.915621905,62820
2020-11-10 16:00:00,152.974727344,152.974727344,152.915621905,152.915621905,225671
2020-11-10 15:59:00,153.038758236,153.058460049,152.959950984,152.979652797,124368
2020-11-10 15:58:00,153.048609143,153.063385503,153.023981877,153.04368369,117030
2020-11-10 15:57:00,153.023981877,153.063385503,153.023981877,153.04368369,217590
