time,open,high,low,close,volume
2021-08-06 16:00:00,115.281706286,115.281706286,115.251843138,115.26179752,386270
2021-08-06 15:59:00,115.306592243,115.311569434,115.281706286,115.286683477,45020
2021-08-06 15:58:00,115.306592243,115.306592243,115.301615051,115.302809577,3344
2021-08-06 15:57:00,115.311569434,115.311569434,115.301615051,115.306592243,5495
2021-08-06 15:56:00,115.311569434,115.311569434,115.301615051,115.31146989,10998
2021-08-06 15:55:00,115.316546625,115.321523817,115.306592243,115.306592243,8321
2021-08-06 15:54:00,115.321523817,115.321523817,115.311569434,115.317641607,2565
2021-08-06 15:53:00,115.316546625,115.321523817,115.311569434,115.321523817,4072
2021-08-06 15:52:00,115.321523817,115.321523817,115.311569434,115.316546625,4081
2021-08-06 15:51:00,115.321523817,115.326501008,115.311569434,115.316546625,12436
2021-08-06 15:50:00,115.326501008,115.331478199,115.321523817,115.326501008,3260
2021-08-06 15:49:00,115.326501008,115.331378656,115.321523817,115.331378656,2441
2021-08-06 15:48:00,115.321523817,115.321523817,115.316546625,115.321523817,10889
2021-08-06 15:47:00,115.316546625,115.321523817,115.316546625,115.321523817,4655
2021-08-06 15:46:00,115.316546625,115.316546625,115.316546625,115.316546625,1017
2021-08-06 15:45:00,115.311569434,115.321523817,115.311569434,115.321523817,5080
2021-08-06 15:44:00,115.317342976,115.320528378,115.311569434,115.320528378,3251
2021-08-06 15:43:00,115.326501008,115.326501008,115.311569434,115.311569434,20546
2021-08-06 15:42:00,115.321523817,115.327795078,115.321523817,115.325605114,6772
2021-08-06 15:41:00,115.326202377,115.326501008,115.324808763,115.326501008,745
2021-08-06 15:40:00,115.322320167,115.326501008,115.321523817,115.323514693,8982
2021-08-06 15:39:00,115.326501008,115.331478199,115.326501008,115.326501008,2228
2021-08-06 15:38:00,115.326501008,115.331478199,115.326501008,115.331478199,3594
2021-08-06 15:37:00,115.336455391,115.336455391,115.326501008,115.331478199,11594
2021-08-06 15:36:00,115.331478199,115.336455391,115.331478199,115.333269988,6897
2021-08-06 15:35:00,115.337948548,115.341432582,115.336455391,115.341432582,1292
2021-08-06 15:34:00,115.334265427,115.341432582,115.331478199,115.331478199,1890
2021-08-06 15:33:00,115.336455391,115.341432582,115.331478199,115.331478199,3141
2021-08-06 15:32:00,115.336455391,115.341432582,115.336455391,115.341432582,1202
2021-08-06 15:31:00,115.336455391,115.337649917,115.332473638,115.332473638,4271
2021-08-06 15:30:00,115.331478199,115.336455391,115.326501008,115.336455391,6125
2021-08-06 15:29:00,115.323016974,115.331478199,115.321523817,115.326501008,12157
2021-08-06 15:28:00,115.331478199,115.336455391,115.326501008,115.326501008,7302
2021-08-06 15:27:00,115.331776831,115.336455391,115.331478199,115.336455391,2888
2021-08-06 15:26:00,115.341432582,115.341432582,115.331478199,115.331478199,7526
2021-08-06 15:25:00,115.336455391,115.341432582,115.331478199,115.336455391,5534
2021-08-06 15:24:00,115.346409773,115.346409773,115.336455391,115.336455391,13182
2021-08-06 15:23:00,115.336455391,115.345812511,115.336455391,115.344817072,3693
2021-08-06 15:22:00,115.341034407,115.341034407,115.331478199,115.333767707,66505
2021-08-06 15:21:00,115.341432582,115.341432582,115.331478199,115.341432582,5953
2021-08-06 15:20:00,115.346807949,115.351386965,115.341432582,115.351386965,2262
2021-08-06 15:19:00,115.344319353,115.346409773,115.344319353,115.346409773,623
2021-08-06 15:18:00,115.351386965,115.351386965,115.347803387,115.347803387,821
2021-08-06 15:17:00,115.344518441,115.346409773,115.34242802,115.34242802,2792
2021-08-06 15:16:00,115.346409773,115.351386965,115.344020722,115.351386965,2586
2021-08-06 15:15:00,115.341432582,115.341432582,115.335360409,115.341432582,1168
2021-08-06 15:14:00,115.336455391,115.339143074,115.336455391,115.336455391,1966
2021-08-06 15:13:00,115.341432582,115.341432582,115.341432582,115.341432582,950
2021-08-06 15:12:00,115.341432582,115.341432582,115.331478199,115.341432582,31097
2021-08-06 15:11:00,115.347902931,115.347902931,115.337948548,115.337948548,6996
2021-08-06 15:10:00,115.336455391,115.341432582,115.336455391,115.341432582,1266
2021-08-06 15:09:00,115.336455391,115.336455391,115.331478199,115.336455391,1065
2021-08-06 15:08:00,115.331478199,115.331478199,115.331478199,115.331478199,635
2021-08-06 15:07:00,115.324410588,115.326501008,115.323912869,115.326501008,1033
2021-08-06 15:06:00,115.331478199,115.331478199,115.321523817,115.322320167,3877
2021-08-06 15:05:00,115.326501008,115.331478199,115.321523817,115.331478199,2849
2021-08-06 15:04:00,115.331378656,115.331478199,115.321523817,115.327297359,2067
2021-08-06 15:03:00,115.331478199,115.336455391,115.316546625,115.321523817,9993
2021-08-06 15:02:00,115.346608861,115.348500194,115.336455391,115.336455391,3773
2021-08-06 15:01:00,115.351386965,115.351386965,115.341432582,115.346409773,7453
2021-08-06 15:00:00,115.361341348,115.369603485,115.356364156,115.356364156,6632
2021-08-06 14:59:00,115.345513879,115.361341348,115.345513879,115.361341348,22810
2021-08-06 14:58:00,115.346409773,115.346409773,115.341930301,115.341930301,597
2021-08-06 14:57:00,115.351386965,115.351386965,115.345414335,115.346409773,2502
2021-08-06 14:56:00,115.351386965,115.351386965,115.334763146,115.346907493,4740
2021-08-06 14:55:00,115.352282859,115.353975104,115.341432582,115.341432582,7748
2021-08-06 14:54:00,115.356364156,115.360345909,115.351386965,115.352581491,4720
2021-08-06 14:53:00,115.353377841,115.356364156,115.353377841,115.356364156,1058
2021-08-06 14:51:00,115.351386965,115.358355033,115.351386965,115.358355033,2293
2021-08-06 14:50:00,115.352481947,115.352481947,115.351386965,115.351386965,711
2021-08-06 14:49:00,115.356364156,115.356364156,115.351386965,115.356364156,36385
2021-08-06 14:48:00,115.366318539,115.366318539,115.351386965,115.356364156,18138
2021-08-06 14:47:00,115.366318539,115.368508503,115.366318539,115.368508503,1044
2021-08-06 14:46:00,115.366318539,115.366318539,115.366318539,115.366318539,646
2021-08-06 14:45:00,115.366318539,115.366318539,115.361341348,115.363033593,645
2021-08-06 14:44:00,115.368110328,115.368608047,115.361341348,115.361341348,1924
2021-08-06 14:43:00,115.366318539,115.369105766,115.366318539,115.366318539,3731
2021-08-06 14:42:00,115.361341348,115.370997099,115.361341348,115.366318539,2811
2021-08-06 14:41:00,115.361440891,115.366318539,115.361440891,115.366318539,953
2021-08-06 14:40:00,115.369404398,115.369404398,115.361341348,115.361341348,1226
2021-08-06 14:39:00,115.370897555,115.370897555,115.361341348,115.366318539,2351
2021-08-06 14:38:00,115.362635417,115.37129573,115.362336786,115.37129573,918
2021-08-06 14:37:00,115.364327662,115.37129573,115.361341348,115.366318539,2480
2021-08-06 14:36:00,115.368309415,115.368309415,115.364327662,115.364327662,569
2021-08-06 14:35:00,115.37129573,115.37129573,115.363531312,115.365323101,2183
2021-08-06 14:34:00,115.364626294,115.365223557,115.364626294,115.365223557,557
2021-08-06 14:33:00,115.364626294,115.37129573,115.363630856,115.37129573,13800
2021-08-06 14:32:00,115.367413521,115.369304854,115.36243633,115.366318539,1369
2021-08-06 14:31:00,115.366318539,115.37129573,115.366318539,115.370300292,39384
2021-08-06 14:30:00,115.366318539,115.368508503,115.361839067,115.368508503,6002
2021-08-06 14:29:00,115.366318539,115.366318539,115.361440891,115.361440891,1866
2021-08-06 14:28:00,115.370798011,115.370798011,115.361341348,115.36791124,3930
2021-08-06 14:27:00,115.364626294,115.366517627,115.363133136,115.366318539,5127
2021-08-06 14:26:00,115.366318539,115.366318539,115.366318539,115.366318539,694
2021-08-06 14:25:00,115.370101204,115.37129573,115.366318539,115.371196186,10761
2021-08-06 14:24:00,115.376272922,115.376272922,115.366318539,115.366318539,6396
2021-08-06 14:23:00,115.37129573,115.381250113,115.37129573,115.376272922,19267
2021-08-06 14:22:00,115.376272922,115.376272922,115.372291169,115.376272922,406
2021-08-06 14:21:00,115.379458324,115.379458324,115.371395274,115.376272922,1971
2021-08-06 14:20:00,115.376272922,115.376272922,115.372291169,115.372291169,2294
2021-08-06 14:19:00,115.372291169,115.376272922,115.37129573,115.376272922,936
2021-08-06 14:18:00,115.379557868,115.379557868,115.372291169,115.376272922,2621
2021-08-06 14:17:00,115.381250113,115.381250113,115.372291169,115.374182501,4662
2021-08-06 14:16:00,115.376272922,115.380254675,115.37129573,115.37129573,6517
2021-08-06 14:15:00,115.376272922,115.381250113,115.37129573,115.37129573,3830
2021-08-06 14:14:00,115.376272922,115.376272922,115.371395274,115.371395274,1137
2021-08-06 14:13:00,115.37129573,115.374381589,115.37129573,115.37129573,2332
2021-08-06 14:12:00,115.376272922,115.381250113,115.374779764,115.380254675,11460
2021-08-06 14:11:00,115.376272922,115.37726836,115.37129573,115.37129573,1006
2021-08-06 14:10:00,115.376272922,115.378064711,115.376272922,115.378064711,539
2021-08-06 14:09:00,115.364825382,115.373983414,115.364825382,115.37129573,4659
2021-08-06 14:08:00,115.366318539,115.36711489,115.366318539,115.36711489,1911
2021-08-06 14:06:00,115.367513065,115.367513065,115.361341348,115.364327662,714
2021-08-06 14:05:00,115.366318539,115.369006222,115.361341348,115.369006222,2342
2021-08-06 14:04:00,115.362038154,115.37129573,115.361341348,115.364029031,1645
2021-08-06 14:03:00,115.366318539,115.367313977,115.366318539,115.367214433,774
2021-08-06 14:02:00,115.361440891,115.37129573,115.361341348,115.361341348,801
2021-08-06 14:01:00,115.359350471,115.366816258,115.359350471,115.366318539,5400
